,city_id,city_name,cloudiness_pct,country_cd,date,humidity,city_lat,city_lng,max_temp,wind_speed,date_time
163,1052373,Beira,5,MZ,1621361545,82,-19.8436,34.8389,73.11,6.44,2021-05-18 18:12:25
164,2557055,Asilah,7,MA,1621361546,63,35.465,-6.0348,76.96,15.57,2021-05-18 18:12:26
165,3583446,San Miguel,32,SV,1621361546,38,13.4833,-88.1833,96.98,4.59,2021-05-18 18:12:26
166,2013279,Vostok,0,RU,1621361546,66,46.4856,135.8833,50.74,5.82,2021-05-18 18:12:26
167,2400547,Gamba,100,GA,1621361547,91,-2.65,10.0,77.22,5.39,2021-05-18 18:12:27
168,1899102,Nagato,100,JP,1621361547,88,34.3833,131.2,60.21,5.12,2021-05-18 18:12:27
169,2017215,Sangar,50,RU,1621361548,67,63.9242,127.4739,27.18,2.53,2021-05-18 18:12:28
170,2158767,Mareeba,93,AU,1621361548,96,-17.0,145.4333,68.72,3.31,2021-05-18 18:12:28
171,5688025,Bismarck,40,US,1621361470,48,46.8083,-100.7837,77.86,11.99,2021-05-18 18:11:10
172,3421719,Narsaq,25,GL,1621361549,54,60.9167,-46.05,46.62,7.36,2021-05-18 18:12:29
173,1151528,Pa Sang,73,TH,1621361549,80,18.5262,98.9394,86.2,1.95,2021-05-18 18:12:29
174,2126710,Beringovskiy,100,RU,1621361550,92,63.05,179.3167,33.03,5.53,2021-05-18 18:12:30
175,1685422,Sulangan,100,PH,1621361550,81,11.1373,123.7228,81.86,12.84,2021-05-18 18:12:30
176,2027142,Barabash,14,RU,1621361550,98,43.2,131.4833,51.48,2.13,2021-05-18 18:12:30
177,4034551,Faanui,36,PF,1621361551,75,-16.4833,-151.75,80.98,21.34,2021-05-18 18:12:31
178,2447513,Arlit,24,NE,1621361551,6,18.7369,7.3853,99.66,2.51,2021-05-18 18:12:31
179,3418910,Upernavik,96,GL,1621361552,87,72.7868,-56.1549,35.38,4.76,2021-05-18 18:12:32
180,779554,Honningsvåg,0,NO,1621361552,81,70.9821,25.9704,47.95,5.75,2021-05-18 18:12:32
181,2156643,Mount Gambier,88,AU,1621361552,89,-37.8333,140.7667,45.32,6.73,2021-05-18 18:12:32
